ID,State,Year,Data Value
1,AK,2015,1472
2,,2016,1594
3,,2017,1571
4,,2018,1442
5,,2019,1544
6,AL,2015,8818
7,,2016,8324
8,,2017,9551
9,,2018,9198
10,,2019,8643
11,AR,2015,4616
12,,2016,4513
13,,2017,4775
14,,2018,5286
15,,2019,4739
16,AZ,2015,14590
17,,2016,16403
18,,2017,17552
19,,2018,19683
20,,2019,21988
21,CA,2015,56001
22,,2016,57154
23,,2017,58406
24,,2018,63121
25,,2019,70935
26,CO,2015,11091
27,,2016,11137
28,,2017,12046
29,,2018,12402
30,,2019,12262
31,CT,2015,8451
32,,2016,10776
33,,2017,12594
34,,2018,12822
35,,2019,13631
36,DC,2015,1447
37,,2016,2586
38,,2017,4369
39,,2018,3610
40,,2019,3800
41,DE,2015,2391
42,,2016,2724
43,,2017,3866
44,,2018,4462
45,,2019,4905
46,FL,2015,36892
47,,2016,48380
48,,2017,65444
49,,2018,61872
50,,2019,61701
51,GA,2015,15499
52,,2016,15538
53,,2017,17723
54,,2018,17255
55,,2019,16503
56,HI,2015,1884
57,,2016,2294
58,,2017,2312
59,,2018,2604
60,,2019,2750
61,IA,2015,3471
62,,2016,3725
63,,2017,3983
64,,2018,3681
65,,2019,3615
66,ID,2015,2570
67,,2016,2623
68,,2017,2807
69,,2018,2798
70,,2019,3060
71,IL,2015,21218
72,,2016,26227
73,,2017,31024
74,,2018,33526
75,,2019,31908
76,IN,2015,14427
77,,2016,16365
78,,2017,20889
79,,2018,20276
80,,2019,19546
81,KS,2015,3926
82,,2016,3774
83,,2017,3771
84,,2018,4045
85,,2019,4433
86,KY,2015,14286
87,,2016,16155
88,,2017,18737
89,,2018,16868
90,,2019,15953
91,LA,2015,9800
92,,2016,11393
93,,2017,12344
94,,2018,14199
95,,2019,14106
96,MA,2015,17638
97,,2016,23951
98,,2017,25670
99,,2018,26808
100,,2019,26280
101,MD,2015,14101
102,,2016,20291
103,,2017,27014
104,,2018,28816
105,,2019,28002
106,ME,2015,2940
107,,2016,3796
108,,2017,4494
109,,2018,4705
110,,2019,3991
111,MI,2015,23417
112,,2016,24245
113,,2017,31175
114,,2018,31993
115,,2019,28803
116,MN,2015,6669
117,,2016,7668
118,,2017,8288
119,,2018,8140
120,,2019,8585
121,MO,2015,13090
122,,2016,14478
123,,2017,16847
124,,2018,18111
125,,2019,19399
126,MS,2015,3907
127,,2016,3933
128,,2017,3911
129,,2018,3767
130,,2019,3816
131,MT,2015,1527
132,,2016,1477
133,,2017,1465
134,,2018,1290
135,,2019,1566
136,NC,2015,17006
137,,2016,21361
138,,2017,26214
139,,2018,27332
140,,2019,27258
141,ND,2015,799
142,,2016,828
143,,2017,950
144,,2018,879
145,,2019,951
146,NE,2015,1547
147,,2016,1425
148,,2017,1512
149,,2018,1861
150,,2019,1747
151,NH,2015,4896
152,,2016,5256
153,,2017,5524
154,,2018,5514
155,,2019,5015
156,NJ,2015,15849
157,,2016,20055
158,,2017,28586
159,,2018,32488
160,,2019,33118
161,NM,2015,6291
162,,2016,5881
163,,2017,6036
164,,2018,5995
165,,2019,6716
166,NV,2015,7342
167,,2016,8457
168,,2017,8748
169,,2018,8849
170,,2019,8917
171,NY,2015,19990
172,,2016,24820
173,,2017,28892
174,,2018,27236
175,,2019,25479
176,OH,2015,36893
177,,2016,45503
178,,2017,60794
179,,2018,51571
180,,2019,49592
181,OK,2015,8944
182,,2016,8913
183,,2017,9867
184,,2018,8624
185,,2019,7467
186,OR,2015,6129
187,,2016,6002
188,,2017,6199
189,,2018,6643
190,,2019,6926
191,PA,2015,36077
192,,2016,45980
193,,2017,64683
194,,2018,57391
195,,2019,52089
196,RI,2015,3517
197,,2016,3978
198,,2017,3986
199,,2018,3906
200,,2019,4052
201,SC,2015,8692
202,,2016,9569
203,,2017,11678
204,,2018,12542
205,,2019,13150
206,SD,2015,727
207,,2016,809
208,,2017,891
209,,2018,732
210,,2019,882
211,TN,2015,16367
212,,2016,18632
213,,2017,20761
214,,2018,21758
215,,2019,23764
216,TX,2015,30794
217,,2016,32557
218,,2017,34262
219,,2018,35934
220,,2019,35795
221,UT,2015,7433
222,,2016,8333
223,,2017,7485
224,,2018,7836
225,,2019,6984
226,VA,2015,11819
227,,2016,14327
228,,2017,17070
229,,2018,17155
230,,2019,17822
231,VT,2015,1094
232,,2016,1363
233,,2017,1633
234,,2018,1614
235,,2019,1615
236,WA,2015,12643
237,,2016,13830
238,,2017,13223
239,,2018,14024
240,,2019,14446
241,WI,2015,10378
242,,2016,11926
243,,2017,13577
244,,2018,13474
245,,2019,13617
246,WV,2015,8230
247,,2016,9617
248,,2017,11836
249,,2018,10965
250,,2019,10079
251,WY,2015,1229
252,,2016,1138
253,,2017,871
254,,2018,763
255,,2019,797
